File,Lines Covered,Lines Total,Lines %,Functions Covered,Functions Total,Functions %,Branches Covered,Branches Total,Branches %
app/node_modules/@apollo/src/link/http/parseAndCheckHttpResponse.ts,11,77,14.29,5,12,41.67,2,41,4.88
app/node_modules/@apollo/src/link/http/responseIterator.ts,0,21,0.00,0,7,0.00,0,12,0.00
app/node_modules/@apollo/src/link/http/rewriteURIForGET.ts,0,26,0.00,0,2,0.00,0,12,0.00
app/node_modules/@apollo/src/link/http/selectHttpOptionsAndBody.ts,29,36,80.56,5,7,71.43,6,10,60.00
app/node_modules/@apollo/src/link/http/selectURI.ts,6,8,75.00,1,1,100.00,3,6,50.00
app/node_modules/@apollo/src/link/http/serializeFetchParameter.ts,5,7,71.43,1,1,100.00,0,0,
app/node_modules/@apollo/src/link/utils/createOperation.ts,9,10,90.00,3,3,100.00,1,2,50.00
app/node_modules/@apollo/src/link/utils/filterOperationVariables.ts,0,9,0.00,0,3,0.00,0,2,0.00
app/node_modules/@apollo/src/link/utils/fromError.ts,0,3,0.00,0,2,0.00,0,0,
app/node_modules/@apollo/src/link/utils/fromPromise.ts,0,5,0.00,0,3,0.00,0,0,
app/node_modules/@apollo/src/link/utils/throwServerError.ts,1,7,14.29,0,1,0.00,0,0,
app/node_modules/@apollo/src/link/utils/toPromise.ts,0,7,0.00,0,3,0.00,0,2,0.00
app/node_modules/@apollo/src/link/utils/transformOperation.ts,4,5,80.00,1,1,100.00,4,9,44.44
app/node_modules/@apollo/src/link/utils/validateOperation.ts,5,6,83.33,1,1,100.00,1,2,50.00
app/node_modules/@apollo/src/react/context/ApolloContext.ts,7,7,100.00,1,1,100.00,3,4,75.00
app/node_modules/@apollo/src/react/context/ApolloProvider.tsx,7,7,100.00,2,2,100.00,1,2,50.00
app/node_modules/@apollo/src/react/hooks/useApolloClient.ts,4,4,100.00,1,1,100.00,2,2,100.00
app/node_modules/@apollo/src/react/hooks/useLazyQuery.ts,27,31,87.10,5,7,71.43,10,14,71.43
app/node_modules/@apollo/src/react/hooks/useMutation.ts,41,47,87.23,6,7,85.71,31,43,72.09
app/node_modules/@apollo/src/react/hooks/useQuery.ts,124,150,82.67,28,38,73.68,65,101,64.36
app/node_modules/@apollo/src/react/hooks/useSyncExternalStore.ts,4,26,15.38,0,5,0.00,3,17,17.65
app/node_modules/@apollo/src/react/parser/index.ts,49,55,89.09,4,6,66.67,23,32,71.88
app/node_modules/@apollo/src/utilities/caching/caches.ts,19,19,100.00,6,6,100.00,2,2,100.00
app/node_modules/@apollo/src/utilities/caching/getMemoryInternals.ts,6,30,20.00,1,13,7.69,3,28,10.71
app/node_modules/@apollo/src/utilities/caching/sizes.ts,2,2,100.00,0,0,,0,0,
app/node_modules/@apollo/src/utilities/common/arrays.ts,3,3,100.00,1,1,100.00,2,2,100.00
app/node_modules/@apollo/src/utilities/common/canUse.ts,10,10,100.00,2,2,100.00,11,12,91.67
